Player,Team,Pos,PassingYds,PassingTD,Int,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD
Patrick Mahomes II,KC,QB,4832,37.7,11.2,64.9,356.8,3.2,0,0,0
Josh Allen,BUF,QB,4277.3,32.1,14.2,117,661.6,6.3,0,0,0
Jalen Hurts,PHI,QB,3825,23.8,10.1,157.6,800.7,11,0,0,0
Lamar Jackson,BAL,QB,3463.3,25.5,11.5,148.9,942.9,5.5,0,0,0
Joe Burrow,CIN,QB,4634.9,33,13.1,65.4,274.4,3.9,0,0,0
Justin Fields,CHI,QB,2912.3,20.4,12.8,161.3,1070.2,6.9,0,0,0
Justin Herbert,LAC,QB,4596.1,30.1,12.7,57.1,220.7,2,0,0,0
Deshaun Watson,CLE,QB,3872.4,24.8,11.3,96.1,481.9,4.1,0,0,0
Kirk Cousins,MIN,QB,4442,30.5,12.3,31.6,92,1.5,0,0,0
Dak Prescott,DAL,QB,4111,29.1,13.9,58,248.6,2.3,0,0,0
Trevor Lawrence,JAC,QB,4085.7,26.6,12.3,62.2,285.1,3.9,0,0,0
Daniel Jones,NYG,QB,3474.5,20.8,9.8,109.3,638.6,4.9,0,0,0
Geno Smith,SEA,QB,4038.3,27.1,11.3,62.2,323.3,2,0,0,0
Aaron Rodgers,NYJ,QB,4101.8,28.4,8.6,36,123.9,1.6,0,0,0
Russell Wilson,DEN,QB,3816.1,24.4,10.7,63.5,318.4,2.7,0,0,0
Jared Goff,DET,QB,4241.6,28,11,31,79.8,1.1,0,0,0
Tua Tagovailoa,MIA,QB,4037.3,26.9,12.1,42.3,131.9,1.6,0,0,0
Anthony Richardson,IND,QB,3155.1,17.9,13.2,128.5,568,4.2,0,0,0
Derek Carr,NO,QB,3936.3,23.8,11.8,34.9,118.2,0.9,0,0,0
Matthew Stafford,LAR,QB,3984.9,24.4,13.2,30,71.4,0.9,0,0,0
Kenny Pickett,PIT,QB,3318.4,17.5,12.5,66.8,420.6,3.6,0,0,0
Jordan Love,GB,QB,3811.7,23.2,14.8,43.1,166.6,1.5,0,0,0
Bryce Young,CAR,QB,3679.9,20.7,12.9,51.4,201.8,1.6,0,0,0
Brock Purdy,SF,QB,3394.5,23.6,9.9,36.6,107.7,2,0,0,0
Jimmy Garoppolo,LV,QB,3557.9,21.3,11.7,30.3,66.5,1.5,0,0,0
C.J. Stroud,HOU,QB,3460.3,19.7,14.2,50.4,177.8,1.5,0,0,0
Mac Jones,NE,QB,3436.3,19.1,13.2,50.6,148.9,1.2,0,0,0
Ryan Tannehill,TEN,QB,3217.7,18.3,10.6,40.3,159.6,2.1,0,0,0
Kyler Murray,ARI,QB,2791.4,14.3,9.7,79.4,422.2,2.9,0,0,0
Sam Howell,WAS,QB,2968.8,16.3,11.9,49.8,207.9,1.7,0,0,0
Desmond Ridder,ATL,QB,2923.2,16.5,10.4,39.8,172.4,1.4,0,0,0
Baker Mayfield,TB,QB,2989.7,15.9,11.4,33.8,121.3,1.1,0,0,0
Jacoby Brissett,WAS,QB,1322.8,5.5,4.3,24.5,95.3,0.8,0,0,0
Colt McCoy,ARI,QB,1259.8,4.9,4.8,18.7,62.4,0.5,0,0,0
Kyle Trask,TB,QB,1231.4,5.6,6.1,17.2,46.8,0.2,0,0,0
Will Levis,TEN,QB,1027.8,4.2,4.7,18.3,60.7,0.3,0,0,0
Trey Lance,SF,QB,799.9,3,3.5,23.1,93.8,0.6,0,0,0
Gardner Minshew II,IND,QB,826.6,3.3,2.7,15.2,51.9,0.2,0,0,0
Brian Hoyer,LV,QB,747.2,4,4,10.4,32.8,0.2,0,0,0
Taylor Heinicke,ATL,QB,713.8,3.9,4,18.1,51.4,0.2,0,0,0
Mike White,MIA,QB,608.1,2.8,3.7,12.6,20.4,0.1,0,0,0
Sam Darnold,SF,QB,579.6,2.3,3.6,15,42.4,0.1,0,0,0
Bailey Zappe,NE,QB,598.9,2.4,3.6,12,22.4,0.1,0,0,0
Clayton Tune,ARI,QB,765.1,0,5.8,23.7,51.1,0.2,0,0,0
Davis Mills,HOU,QB,521.6,1.7,4,14.5,31.5,0.2,0,0,0
Nate Sudfeld,DET,QB,383.8,1.7,1.9,0,26.5,0.5,0,0,0
Tyrod Taylor,NYG,QB,277.4,2,1.3,14.1,57.7,0.2,0,0,0
Marcus Mariota,PHI,QB,329.7,1.6,1.2,15.4,49.1,0.3,0,0,0
Andy Dalton,CAR,QB,421.6,2,2.4,7.4,15.9,0.1,0,0,0
Brett Rypien,LAR,QB,489.6,1.9,5.7,25.7,26.8,0.1,0,0,0
Tyler Huntley,BAL,QB,310.4,1.4,1.4,19.8,59.5,0.2,0,0,0
Mitch Trubisky,PIT,QB,357.4,1.6,1.7,8.3,25.3,0.2,0,0,0
Jarrett Stidham,DEN,QB,350.4,2.3,2.1,5.3,11.1,0.1,0,0,0
P.J. Walker,CHI,QB,368.6,1.8,4,9.9,21.6,0.1,0,0,0
Blaine Gabbert,KC,QB,337.4,1.7,2.6,11.2,21.2,0.1,0,0,0
Jameis Winston,NO,QB,321.6,1.5,1.4,4.6,9.4,0.2,0,0,0
Nick Mullens,MIN,QB,337.5,1.9,2.1,5,8.7,0.1,0,0,0
Joshua Dobbs,CLE,QB,337.2,1.5,2.6,10.7,27.2,0.1,0,0,0
Zach Wilson,NYJ,QB,480.1,0.8,5.2,5.4,13.5,0.2,0,0,0
Drew Lock,SEA,QB,327.8,1.5,2.7,6,16.9,0.1,0,0,0
Sean Clifford,GB,QB,293.4,1.6,2.4,9.2,20.3,0.2,0,0,0
Easton Stick,LAC,QB,327,1.6,3.5,14.8,20,0.2,0,0,0
Stetson Bennett,LAR,QB,336.4,1.2,1.7,8.2,17.1,0.1,0,0,0
C.J. Beathard,JAC,QB,313.5,1.5,2.9,11.4,19.6,0.1,0,0,0
Cooper Rush,DAL,QB,250.5,1.5,1.1,2.9,6.6,0.1,0,0,0
David Blough,ARI,QB,341,1.3,3.9,16.4,21.6,0,0,0,0
Kyle Allen,BUF,QB,409.1,1.2,5.2,10.3,25.6,0.2,0,0,0
Hendon Hooker,DET,QB,270.5,0.7,1.7,9.4,19.6,0.1,0,0,0
